握拍方式	胶皮类型	手部技术	技术大类	具体动作名称
横拍	反胶	正手	发球	平击发球
横拍	反胶	正手	发球	奔球
横拍	反胶	正手	发球	左侧下旋
横拍	反胶	正手	发球	左侧上旋
横拍	反胶	正手	发球	右侧上旋
横拍	反胶	正手	发球	右侧下旋
横拍	反胶	正手	发球	下旋转球
横拍	反胶	正手	发球	不转球
横拍	反胶	正手	进攻​	快攻
横拍	反胶	正手	进攻​	突击
横拍	反胶	正手	进攻​	扣杀
横拍	反胶	正手	进攻​	挑
横拍	反胶	正手	进攻​	高吊弧圈球
横拍	反胶	正手	进攻​	前冲弧圈球
横拍	反胶	正手	进攻​	反拉
横拍	反胶	正手	进攻​	反冲
横拍	反胶	正手	防御​	挡
横拍	反胶	正手	防御​	快带
横拍	反胶	正手	防御​	兜
横拍	反胶	正手	防御​	放高球
横拍	反胶	正手	防御​	削球
横拍	反胶	正手	防御​	搓球
横拍	反胶	反手	发球	平击发球
横拍	反胶	反手	发球	右侧下旋
横拍	反胶	反手	发球	右侧上旋
横拍	反胶	反手	发球	左侧上旋
横拍	反胶	反手	发球	左侧下旋
横拍	反胶	反手	发球	下旋转球
横拍	反胶	反手	发球	不转球
横拍	反胶	反手	进攻​	拨
横拍	反胶	反手	进攻​	弹
横拍	反胶	反手	进攻​	扣杀
横拍	反胶	反手	进攻​	高吊弧圈球
横拍	反胶	反手	进攻​	前冲弧圈球
横拍	反胶	反手	进攻​	反冲
横拍	反胶	反手	进攻​	拧
横拍	反胶	反手	进攻​	反拉
横拍	反胶	反手	防御​	挡
横拍	反胶	反手	防御​	快撕
横拍	反胶	反手	防御​	贴
横拍	反胶	反手	防御​	放高球
横拍	反胶	反手	防御​	兜
横拍	反胶	反手	防御​	削球
横拍	反胶	反手	防御​	搓球
